2017-03-14,14:30,42076
2017-03-14,14:45,42099
2017-03-14,15:00,42127
2017-03-14,15:15,42166
2017-03-14,15:30,42193
2017-03-14,15:45,42229
2017-03-14,16:00,42261
2017-03-14,16:15,42288
2017-03-14,16:30,42325
2017-03-14,16:45,42349
2017-03-14,17:00,42379
2017-03-14,17:15,42403
2017-03-14,17:30,42427
2017-03-14,17:45,42447
2017-03-14,18:00,42462
2017-03-14,18:15,42482
2017-03-14,18:30,42494
2017-03-14,18:45,42507
2017-03-14,19:00,42529
2017-03-14,19:15,42541
2017-03-14,19:30,42560
2017-03-14,19:45,42573
2017-03-14,20:00,42601
2017-03-14,20:15,42625
2017-03-14,20:30,42649
2017-03-14,20:45,42676
2017-03-14,21:00,42706
2017-03-14,21:15,42725
2017-03-14,21:30,42744
2017-03-14,21:45,42763
2017-03-14,22:00,42777
2017-03-14,22:15,42785
2017-03-14,22:30,42794
2017-03-14,22:45,42801
2017-03-14,23:00,42810
2017-03-14,23:15,42819
2017-03-14,23:30,42825
2017-03-14,23:45,42828
2017-03-15,00:00,42832
2017-03-15,00:15,42836
2017-03-15,00:30,42835
2017-03-15,00:45,42837
2017-03-15,01:00,42840
2017-03-15,01:15,42843
2017-03-15,01:30,42846
2017-03-15,01:45,42846
2017-03-15,02:00,42847
2017-03-15,02:15,42847
2017-03-15,02:30,42848
2017-03-15,02:45,42850
2017-03-15,03:00,42852
2017-03-15,03:15,42853
2017-03-15,03:30,42855
2017-03-15,03:45,42856
2017-03-15,04:00,42858
2017-03-15,04:15,42858
2017-03-15,04:30,42858
2017-03-15,04:45,42858
2017-03-15,05:00,42858
2017-03-15,05:15,42859
2017-03-15,05:30,42861
2017-03-15,05:45,42862
2017-03-15,06:00,42862
2017-03-15,06:15,42861
2017-03-15,06:30,42866
2017-03-15,06:45,42875
2017-03-15,07:00,42882
2017-03-15,07:15,42892
2017-03-15,07:30,42899
2017-03-15,07:45,42901
2017-03-15,08:00,42908
2017-03-15,08:15,42909
2017-03-15,08:30,42913
2017-03-15,08:45,42917
2017-03-15,09:00,42920
2017-03-15,09:15,42923
2017-03-15,09:30,42926
2017-03-15,09:45,42929
2017-03-15,10:00,42930
2017-03-15,10:15,42931
2017-03-15,10:30,42933
2017-03-15,10:45,42935
2017-03-15,11:00,42936
2017-03-15,11:15,42938
2017-03-15,11:30,42939
2017-03-15,11:45,42937
2017-03-15,12:00,42939
2017-03-15,12:15,42938
2017-03-15,12:30,42941
2017-03-15,12:45,42944
2017-03-15,13:00,42951
2017-03-15,13:15,42959
2017-03-15,13:30,42964
2017-03-15,13:45,42971
2017-03-15,14:00,42979
2017-03-15,14:15,42985
2017-03-15,14:30,42991
2017-03-15,14:45,42995
2017-03-15,15:00,42999
2017-03-15,15:15,43004
2017-03-15,15:30,43014
2017-03-15,15:45,43032
2017-03-15,16:00,43047
2017-03-15,16:15,43065
2017-03-15,16:30,43072
2017-03-15,16:45,43084
2017-03-15,17:00,43098
2017-03-15,17:15,43105
2017-03-15,17:30,43113
2017-03-15,17:45,43116
2017-03-15,18:00,43130
2017-03-15,18:15,43141
2017-03-15,18:30,43148
2017-03-15,18:45,43153
2017-03-15,19:00,43165
2017-03-15,19:15,43170
2017-03-15,19:30,43180
2017-03-15,19:45,43201
2017-03-15,20:00,43230
2017-03-15,20:15,43253
2017-03-15,20:30,43260
2017-03-15,20:45,43272
2017-03-15,21:00,43288
2017-03-15,21:15,43297
2017-03-15,21:30,43314
2017-03-15,21:45,43329
2017-03-15,22:00,43340
2017-03-15,22:15,43341
2017-03-15,22:30,43356
2017-03-15,22:45,43369
2017-03-15,23:00,43378
2017-03-15,23:15,43388
2017-03-15,23:30,43395
2017-03-15,23:45,43399
2017-03-16,00:00,43401
2017-03-16,00:15,43402
2017-03-16,00:30,43405
2017-03-16,00:45,43406
2017-03-16,01:00,43407
2017-03-16,01:15,43408
2017-03-16,01:30,43409
