datetime,following,posts,followers,avgl,avgc
2018-03-23 10:45:06,203,379,170048,21483.0,561.6666666666666
2018-03-23 11:00:06,203,379,170115,21489.416666666668,561.6666666666666
2018-03-23 11:15:05,203,379,170180,21497.333333333332,561.6666666666666
2018-03-23 11:30:06,203,379,170242,21505.666666666668,561.75
2018-03-23 11:45:06,203,379,170312,21512.833333333332,561.9166666666666
2018-03-23 12:00:06,203,379,170397,21523.833333333332,562.0
2018-03-23 12:15:08,203,379,170463,21531.833333333332,562.0
2018-03-23 12:30:06,203,379,170533,21539.916666666668,562.1666666666666
2018-03-23 12:45:06,203,379,170627,21553.25,562.4166666666666
2018-03-23 13:00:07,203,379,170736,21566.75,562.75
2018-03-23 13:15:06,203,379,170826,21577.583333333332,562.75
2018-03-23 13:30:06,203,379,170940,21593.75,562.75
2018-03-23 13:45:06,203,379,171048,21608.25,562.75
2018-03-23 14:00:05,203,379,171139,21626.916666666668,562.75
2018-03-23 14:15:06,203,379,171260,21643.583333333332,562.9166666666666
2018-03-23 14:30:05,203,379,171375,21658.5,563.0
2018-03-23 14:45:06,203,379,171503,21677.0,563.0833333333334
2018-03-23 15:00:06,203,379,171596,21691.083333333332,563.1666666666666
2018-03-23 15:15:06,203,379,171681,21704.5,563.3333333333334
2018-03-23 15:30:06,203,379,171809,21718.583333333332,563.3333333333334
2018-03-23 15:45:06,203,379,171909,21734.416666666668,563.3333333333334
2018-03-23 16:00:07,203,379,172044,21747.333333333332,563.4166666666666
2018-03-23 16:15:07,203,379,172148,21758.0,563.5
2018-03-23 16:30:07,203,380,172260,20289.75,190.08333333333334
2018-03-23 16:45:08,203,380,172408,20482.416666666668,191.16666666666666
2018-03-23 17:00:07,203,380,172535,20618.666666666668,191.33333333333334
2018-03-23 17:15:07,203,380,172637,20730.0,191.83333333333334
2018-03-23 17:30:06,203,380,172746,20820.833333333332,192.08333333333334
2018-03-23 17:45:06,203,380,172860,20899.0,192.75
2018-03-23 18:00:06,203,380,172983,20971.916666666668,193.0
2018-03-23 18:15:06,203,380,173082,21032.583333333332,193.08333333333334
2018-03-23 18:30:06,203,380,173174,21062.666666666668,193.16666666666666
2018-03-23 18:45:06,203,380,173310,21062.583333333332,193.25
2018-03-23 19:00:06,203,380,173431,21062.666666666668,193.25
2018-03-23 19:15:06,203,380,173589,21237.0,196.5
2018-03-23 19:30:06,203,380,173814,21301.5,196.91666666666666
2018-03-23 19:45:06,203,380,174030,21357.416666666668,197.16666666666666
2018-03-23 20:00:07,203,380,174260,21410.416666666668,197.25
2018-03-23 20:15:06,203,380,174493,21459.5,197.58333333333334
2018-03-23 20:30:06,203,380,174692,21504.083333333332,197.91666666666666
2018-03-23 20:45:06,203,380,174897,21545.5,198.41666666666666
2018-03-23 21:00:06,203,380,175144,21589.083333333332,198.66666666666666
2018-03-23 21:15:06,203,380,175344,21630.666666666668,198.83333333333334
2018-03-23 21:30:06,203,380,175474,21671.416666666668,199.16666666666666
2018-03-23 21:45:06,203,380,175616,21712.916666666668,199.58333333333334
2018-03-23 22:00:05,203,380,175790,21748.166666666668,200.0
2018-03-23 22:15:06,203,380,175945,21779.0,200.5
2018-03-23 22:30:06,203,380,176111,21810.25,201.41666666666666
2018-03-23 22:45:06,203,380,176248,21837.75,201.41666666666666
2018-03-23 23:00:07,203,380,176359,21857.416666666668,201.58333333333334
2018-03-23 23:15:07,203,380,176466,21877.5,201.66666666666666
2018-03-23 23:30:05,203,380,176554,21898.166666666668,201.83333333333334
2018-03-23 23:45:06,204,380,176635,21918.833333333332,202.08333333333334
2018-03-24 00:00:06,204,380,176675,21937.083333333332,202.16666666666666
2018-03-24 00:15:06,204,380,176748,21949.0,202.08333333333334
2018-03-24 00:30:06,204,380,176801,21958.916666666668,202.33333333333334
2018-03-24 00:45:06,204,380,176839,21966.5,202.41666666666666
2018-03-24 01:00:06,204,380,176866,21974.75,202.41666666666666
2018-03-24 01:15:08,204,380,176894,21981.5,202.41666666666666
2018-03-24 01:30:08,204,380,176916,21985.333333333332,202.41666666666666
2018-03-24 01:45:18,204,380,176943,21989.916666666668,202.41666666666666
2018-03-24 02:00:08,204,380,176952,21993.583333333332,202.58333333333334
2018-03-24 02:15:07,204,380,176966,21996.75,202.58333333333334
2018-03-24 02:30:07,204,380,176972,21999.416666666668,202.5
2018-03-24 02:45:06,204,380,176984,22000.25,202.66666666666666
2018-03-24 03:00:07,204,380,176990,22001.75,202.75
2018-03-24 03:15:07,204,380,177000,22002.5,202.66666666666666
2018-03-24 03:30:08,204,380,177006,22004.083333333332,202.75
2018-03-24 03:45:07,204,380,177012,22005.416666666668,202.66666666666666
2018-03-24 04:00:09,204,380,177013,22006.166666666668,202.75
2018-03-24 04:15:07,204,380,177013,22007.25,202.66666666666666
2018-03-24 04:30:07,204,380,177015,22007.833333333332,202.75
2018-03-24 04:45:07,204,380,177022,22009.166666666668,202.75
2018-03-24 05:00:06,204,380,177024,22009.833333333332,202.75
2018-03-24 05:15:06,204,380,177027,22010.75,202.66666666666666
2018-03-24 05:30:06,204,380,177028,22012.0,202.75
2018-03-24 05:45:07,204,380,177031,22013.25,202.75
2018-03-24 06:00:05,204,380,177037,22014.333333333332,202.75
2018-03-24 06:15:06,204,380,177043,22017.0,202.83333333333334
2018-03-24 06:30:06,204,380,177049,22018.583333333332,202.83333333333334
2018-03-24 06:45:06,204,380,177069,22021.833333333332,202.83333333333334
2018-03-24 07:00:06,204,380,177084,22026.166666666668,202.91666666666666
2018-03-24 07:15:06,204,380,177109,22032.5,202.91666666666666
2018-03-24 07:30:06,204,380,177137,22040.75,202.91666666666666
2018-03-24 07:45:06,204,381,177172,21230.333333333332,195.33333333333334
2018-03-24 08:00:06,204,381,177207,21415.333333333332,198.41666666666666
2018-03-24 08:15:05,202,381,177256,21576.666666666668,199.75
2018-03-24 08:30:05,202,381,177322,21726.166666666668,200.41666666666666
2018-03-24 08:45:06,202,381,177391,21864.333333333332,200.91666666666666
2018-03-24 09:00:06,202,381,177466,22008.833333333332,201.41666666666666
2018-03-24 09:15:05,202,381,177522,22154.25,201.83333333333334
